,Rule,SAA,Barbell_LongShort,Barbell_Diversified,Capital_Preservation,Gov_Long_Only
Short-term treasury index,0.14028695557914667,0.048076923076923093,0.25,0.20000000000000004,0.07894736842105264,0.0
US TIPS 0-5 Years,0.02766135792120704,0.048076923076923093,0.0,0.0,0.0,0.0
US TIPS 1-5 years,0.02766135792120704,0.048076923076923093,0.0,0.0,0.0,0.0
US Treasury Inflation Notes 1-10 Years,0.036881810561609385,0.09615384615384619,0.0,0.0,0.0,0.0
US Aggregate 10 or 10+ Years,0.06113779944135327,0.07211538461538461,0.125,0.10000000000000002,0.09210526315789473,0.25
US Aggregate,0.10807409017351662,0.14423076923076922,0.0,0.10000000000000002,0.23684210526315794,0.0
US Corporate HY,0.06430704565058028,0.09615384615384619,0.0,0.0,0.0,0.0
US Corporate IG,0.10807409017351662,0.14423076923076922,0.0,0.10000000000000002,0.23684210526315794,0.0
US Treasury,0.06113779944135327,0.07211538461538461,0.125,0.10000000000000002,0.09210526315789473,0.25
CHF,0.020665500876897686,0.00961538461538462,0.0,0.0,0.0,0.0
Gold,0.060884136920861254,0.01923076923076924,0.0,0.0,0.0,0.0
JPY,0.020665500876897686,0.00961538461538462,0.0,0.0,0.0,0.0
US treasury 1-3 Year,0.14028695557914667,0.048076923076923093,0.25,0.20000000000000004,0.07894736842105264,0.0
US Treasury 20+ Years,0.06113779944135327,0.07211538461538461,0.125,0.10000000000000002,0.09210526315789473,0.25
US Treasury 10+ Years,0.06113779944135327,0.07211538461538461,0.125,0.10000000000000002,0.09210526315789473,0.25
